dataset_model,offload_gb,output_len,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0
llama,8,64,30,600,0,30,2051.0687159985537,948.5131767767598,2320.803469379825,948.0418254970573,2829.338593503053,30,945.1825712181628,364.71563395113213,959.4361054988397,364.7047393888998,959.493086309637,30,945.0633509950421,364.691100829441,959.1430948261404,364.6865870032343,959.2991945028189,30,61969.22266149704,23925.748413648034,62635.41860317855,23925.50104649854,62638.06446349918,30,2282.1910618811676,951.5069330079496,2843.010077936924,950.8147193409968,2849.379028738622,30,945.2616640941184,364.7418400074232,959.4370447488409,364.7371421174385,959.4938315641822,30,946.469491822063,365.0989307452619,960.6081182234993,365.091515849781,960.7779874044354,30,62009.55714017109,23929.32327810515,62637.59643558017,23928.86172614526,62639.92625129467,30,0.08666963852398774,0.03307168688770208,0.1609778800026483,0.033041532024981855,0.16118092037451529,30,5.546856865535215,2.116587960812933,10.30258432016949,2.1146580495988387,10.315578903968978,30,27.647614689152086,10.549868117176963,51.351943720844815,10.540248715969211,51.41671359947038,30,245.25692848350445,124.2406724660439,604.7468963275991,124.0841655050026,605.2988095369947,45.67162538079025,45.713799905461364,32.298911863038775,45.30826858281872,0.02221331582990495
llama,8,128,30,600,0,30,2048.426157249196,948.7744681995537,2320.020123875292,948.4020214949851,2844.5599874976324,30,945.0905035865997,364.7212863945257,959.540066349019,364.7151707204547,959.6237153621867,30,945.1015679987904,364.68946062122995,959.3663283492788,364.6805194875924,959.4240725054988,30,122332.65527875119,47268.0307361039,124049.66128884807,47267.914299496624,124054.16595150018,30,2270.7342278819856,951.8052654789426,2844.5348373759407,951.4462019084021,2866.0183278479963,30,945.3020461592913,364.7372783191297,959.5407808978259,364.73441457644117,959.6250978583049,30,946.580454731884,365.1199509995786,960.8184254236039,365.0932570446457,960.967804952088,30,122584.1736420025,47274.228912516846,124051.24968089053,47272.11116650142,124055.81733364379,30,0.04371468325610734,0.016566732959155336,0.08131081671725125,0.01656284443979347,0.08131554945461195,30,5.59547945678174,2.120541818771883,10.40778453980816,2.120044088293564,10.408390330190329,30,16.74272368708911,6.345058723356493,31.14204280270723,6.3435694204408986,31.143855441116372,30,486.16083363600046,245.96973451020455,1207.2386862004037,245.9554185409943,1207.5220577419968,45.559627374435884,45.61709565433802,32.27843378933978,45.324706235785925,0.02206168716102323
llama,12,32,30,600,0,30,3041.0737020065426,1410.828872174534,3839.965954670331,1410.4654085022048,4230.362917500315,30,1409.2500188304375,539.4945185652168,1430.2162689093225,539.487454032379,1430.3559143229522,30,1408.9690059918212,539.4587992541346,1429.9809615280537,539.456294492993,1430.216376495082,30,47032.15886399994,18135.000773676802,47690.55472017135,18134.751290504937,48063.48516550497,30,3395.8984240904106,1413.8914857823693,4258.675661050584,1413.0648379068589,4267.762522630801,30,1409.612632471075,539.5421695668847,1430.219499488824,539.5283274014806,1430.362454405094,30,1410.7758642770932,540.1290174839596,1431.8679831464397,540.0654601922724,1432.4549100492732,30,47206.480423793255,18138.69457668865,47707.04856477911,18138.626572905923,48088.077313744,30,0.1141222328484402,0.04426836334068815,0.21164620785278032,0.044258335026625746,0.21165202183871426,30,3.6519114511500863,1.4165876269020208,6.77267865128897,1.4162667208520239,6.772864698838856,30,32.75308082750233,12.705020278777496,60.74246165374795,12.702142152641589,60.74413026771099,30,185.69739079699502,94.49732269598898,451.78993297564375,94.49472689299728,451.8922817129933,68.08288624014847,68.24055941249343,48.99601233154786,67.39259227655428,0.015105424886341173
llama,12,64,30,600,0,30,3038.760125746194,1410.794062401692,3373.827134764724,1410.5278284987435,4219.609976003994,30,1409.2114221786023,539.4679342670272,1430.162289340787,539.4664246826626,1430.3037640476962,30,1408.9815282495692,539.4198125024559,1429.9197732994799,539.4195880071493,1430.1375990035012,30,92145.37262600061,35397.75987899593,93352.36336396556,35396.753486005764,93362.51579048985,30,3395.6195457511067,1414.4132739604538,4232.586601690418,1413.03283035013,4247.231887298403,30,1409.3416711706682,539.5047035876379,1430.163075089603,539.5038555959925,1430.3042458897894,30,1410.7745361499838,540.1982406677052,1431.7367998255213,540.0629791984102,1432.0131380693056,30,92415.26496743172,35402.05599398254,93354.25292420208,35400.863648294035,93364.03877096745,30,0.05819348261066293,0.022198361901862675,0.10798223210891492,0.02218826621179613,0.10799161980164065,30,3.7243828870824274,1.4206951617192112,6.910862854970555,1.4200490375549524,6.911463667305002,30,18.563720952801475,7.081277446694193,34.44633204274386,7.078056921562966,34.44932671672337,30,365.06156272000226,185.21565640649496,900.9673934646577,185.19955563900294,901.3773229999933,68.09369757328741,68.15405505363827,47.8524413681624,67.37130324206474,0.014914914040110624
llama,12,128,30,600,0,30,3039.433037258277,1412.068508696393,3372.65190044709,1410.5087209973135,3374.724426510511,30,1409.1340307166133,539.463889893918,1430.2107118563458,539.4625940196736,1430.3096288425104,30,1409.07312874333,539.4166990507074,1429.8720045750088,539.4129784981487,1430.0543620047392,30,182075.71023299533,69924.21739362253,184889.19144975807,69922.43819400028,184902.72006750456,30,3397.420196169697,1414.5054145252652,4232.206430007354,1412.9544623021502,4240.89701930061,30,1409.2125586029217,539.4796850664627,1430.2112121810374,539.4744737046794,1430.3099945594336,30,1410.7523892562313,540.1532967968888,1431.697727881401,540.1187542483967,1431.8687394523295,30,182349.92281038067,69927.07787936309,184890.7136750241,69926.294931546,184903.95485313347,30,0.029324820209394573,0.011114362420085533,0.05454890707263542,0.01111206215242083,0.05455196272141445,30,3.7535769868025053,1.4226383897709483,6.982260105297334,1.4223439555098663,6.98265122834105,30,11.231406140198121,4.256800806892759,20.892231408819367,4.255919804377178,20.893401722301736,30,725.7678581240034,366.643459519789,1799.4734505839601,366.6229224810086,1799.845944494009,67.92960157408154,68.0115512176614,47.89439819594049,67.45973150160204,0.014799489812671335
llama,16,32,30,600,0,30,3254.4145160063636,1509.0688412543386,3612.369633945491,1508.8805679988582,4533.291978514171,30,1507.2269524837707,580.107141693072,1528.9462669821776,580.1011981450082,1529.2656648065708,30,1507.1302867581835,580.068307754118,1528.5199569276301,580.062598499353,1528.6083615064854,30,50307.53998925502,19492.839950843336,50903.282197094086,19492.197780506103,51407.14428850333,30,3636.8926751223635,1512.692095059756,4526.921213434689,1512.0161709361128,4561.832912176033,30,1507.4693678452018,580.1583421341052,1528.9546531238082,580.1459516282663,1529.2673081935068,30,1509.0182272935635,580.7957510386768,1530.7715069009282,580.7473536668113,1530.8809920563363,30,50338.34999535393,19496.61404819999,50905.41817067846,19495.881807834667,51409.81485530647,30,0.10629434154938144,0.041383618184376525,0.1978858478197237,0.04131311936870633,0.1978985868385518,30,3.401418929580206,1.3242757819000488,6.332347130231159,1.3220198197986026,6.332754778833658,30,30.506476024672473,11.877098418916063,56.79323832426071,11.856865258818717,56.796894422664366,30,199.0877198660164,101.06836960669607,483.2831025943102,101.06186365199392,484.10771942700376,72.81629219292218,72.99480218409224,52.433235555260175,72.08590064377016,0.014069311053961036
llama,16,64,30,600,0,30,3256.098377991293,1510.038813301071,4105.616859473955,1509.9345364869805,4510.827146994416,30,1507.1877277896708,580.1251282870662,1528.992426263837,580.1205244525114,1529.2747885872063,30,1507.0420882475446,580.0728981485008,1528.728843978024,580.0678739906289,1528.797251492506,30,98782.89261474129,38058.034840867185,99821.87830135372,38057.72257799981,99838.87826799764,30,3635.8310071300375,1512.7970259301946,4530.148772370885,1512.0886838427396,4535.680359600519,30,1507.404845140621,580.1506518127487,1528.9937022946242,580.1459901818787,1529.2760294056886,30,1508.9715112735576,580.8941460961069,1530.7999230061978,580.8346137404442,1531.1637775652343,30,98847.25455445441,38062.22704621825,99823.66051726152,38061.40684501297,99840.72605581023,30,0.05435913523596887,0.020732233358677826,0.10096198505468883,0.020731052295757686,0.10119498562365632,30,3.478984655102008,1.3268629349553809,6.461567043500085,1.3267873469284919,6.476479079914005,30,17.34056414027407,6.613582441418226,32.20687323244574,6.613205682346702,32.281200413946365,30,391.04885008450947,198.09436238829076,964.6814055775437,197.63825130999976,964.736363339005,72.82795449075834,72.8973569853502,51.27494447543339,72.22426936714321,0.013932175786136342
llama,16,128,30,600,0,30,3257.129709752917,1509.8554523166968,3611.841360404651,1509.4164830079535,4513.134861495928,30,1507.2700351869798,580.1273801301099,1528.8531940156895,580.1218810315265,1528.9019909447866,30,1507.2022822423605,580.0731939474645,1527.9090222909872,580.0719859980745,1527.94934999838,30,195198.4667802535,75186.24973257247,197419.58521820416,75186.00623650127,197423.2273880043,30,3632.3883581769232,1513.5709380568733,4524.110245488046,1513.154601212591,4544.404961641703,30,1507.4367722765887,580.1488547997545,1528.8572876596568,580.143897116847,1528.9061253152715,30,1508.9806626012432,580.9345788475184,1530.25097962789,580.9128583146958,1530.4150214869878,30,195462.3477429457,75191.41674048347,197421.5820539456,75191.02412966604,197424.95698126295,30,0.027423877282367417,0.010380915336419059,0.05112405162332717,0.010380131560009916,0.05112498238032199,30,3.5102562921430294,1.3287571630616395,6.543878607785878,1.3286568396812692,6.5439977446812145,30,10.503344999146721,3.975890573848499,19.580511771734308,3.9755903874837974,19.580868251663322,30,776.0148348514922,391.20530095355105,1926.6123913220813,391.19817883199903,1926.7578531519976,72.66040754315895,72.74793843064953,51.32479162477375,72.32176187405588,0.013840132337258912
qwen,0,32,30,600,0,30,65.47401950592757,27.883991125781904,121.95112630106449,27.16228650388075,124.8945055049262,30,19.63616009673006,19.20920225012167,20.30168900965955,19.180973596737587,20.333096645293654,30,19.553974500013283,19.145648199992138,20.274951030660304,19.133281501126476,20.3137849966879,30,670.8632127520104,632.0826940504048,751.0026751719124,631.7930235018139,753.544082006556,30,72.3440060752182,29.188463573664194,123.46257122950192,28.316039751371136,126.6174190030142,30,19.882282796595156,19.24125886723261,20.36741682353398,19.231948695444096,20.393965146814157,30,20.216669778892538,19.67512818027899,21.26534825147246,19.64702905752347,21.592842648533402,30,676.1416337227274,633.302848754829,752.9801602104271,632.4109599445364,755.3022139552922,30,7.995443827402406,1.5800609935101466,14.207280379935849,1.5639227415706687,14.376151471334722,30,255.854202476877,50.56195179232469,454.63297215794717,50.0455277302614,460.0368470827111,30,2302.687822291893,455.0575661309223,4091.696749421524,450.40974957235255,4140.3316237444,30,2.6410335909968126,1.4077289974506129,12.657747253396519,1.3911929099995177,12.788355504002539,1.0,1.0,1.0,1.0,1.0
qwen,0,64,30,600,0,30,65.27303599796141,27.496368148786132,121.53251987801923,27.19970899488544,123.45904899848392,30,19.596697119032754,19.162165506373093,20.386424752752415,19.146075603202917,20.393325976328924,30,19.57713649608195,19.139163999352604,20.303779247115017,19.133217007038184,20.30980450217612,30,1292.448922748008,1255.386570225528,1405.2222494781745,1236.5410945058102,1408.0534360036836,30,72.26526684462442,28.638632073198096,123.0642586981412,28.50671299456735,125.13484385053744,30,19.7384233099232,19.185258425644108,20.41982201458311,19.177089532419654,20.425169015155888,30,20.00321797277138,19.413427993713412,20.90768261379707,19.33830350244534,21.03081049208413,30,1300.1395021765347,1259.6735514409738,1406.972752450747,1259.1038561462483,1409.9541997624328,30,4.129402510442745,0.7940538101537284,7.469199210289958,0.7935898316542057,7.472531769987702,30,264.28176066833566,50.81944384983862,478.0287494585573,50.789749225869166,478.24203327921293,30,1321.408803341678,254.0972192491931,2390.1437472927864,253.94874612934584,2391.210166396065,30,5.138324846499017,2.67766322870375,25.187209974148573,2.676469048994477,25.20193581400963,1.0,1.0,1.0,1.0,1.0
qwen,0,128,30,600,0,30,65.19045025197556,27.836392596145743,120.9269160473923,27.613422498689033,123.69765100447694,30,19.617543624029736,19.200425529117464,20.483531503578696,19.183184334691557,20.489330807121885,30,19.605963494541356,19.192718478734605,20.425943070586072,19.17185800266452,20.436742997844703,30,2541.6688914992847,2497.0850569301547,2722.852432023137,2486.2730160020874,2724.0103454969358,30,71.86688751862675,28.952355277833703,122.8748662227008,28.62234393833205,125.61628589319298,30,19.670120753192272,19.247562627527607,20.498774733332684,19.217849994402773,20.504783064155156,30,19.737844781411695,19.324800476024393,20.78085887766065,19.316980995063204,20.802055048261536,30,2549.2154329775076,2504.941257952414,2724.7551710006155,2501.0417603385577,2726.112068904331,30,2.10439687655406,0.3981565314726273,3.8218243492897,0.3980185518296692,3.8251288093850837,30,269.3628001989197,50.964036028496295,489.1935167090816,50.94637463419766,489.6164876012907,30,808.0884005967591,152.8921080854889,1467.5805501272448,152.83912390259297,1468.849462803872,30,10.076924915993004,5.233103487201879,50.23150047554664,5.228582094001467,50.248914046998834,1.0,1.0,1.0,1.0,1.0
