dataset,cv,defense,defense_family,defense_param,attacker_type,classifier,featureset,oracle,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,accuracy_mean,n_splits,n_jitter_reps,overhead_total_median_ms_low,overhead_total_median_ms_high,overhead_total_p95_ms_low,overhead_ttft_median_ms_low,overhead_decode_median_ms_low,relative_overhead_total_low,effective_target_ttft_mean,effective_target_ttft_std,effective_target_itl_mean,effective_target_itl_std
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,decode_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,e2el_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,itl_core,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,itl_median_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,LogReg,ttft_only,False,1.00000,0.00000,1.00000,0.00000,1.00000,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,decode_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,e2el_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,itl_core,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,itl_median_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,adaptive,RandomForest,ttft_only,False,1.00000,0.00000,1.00000,0.00000,1.00000,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,decode_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,e2el_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,itl_core,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,itl_median_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,LogReg,ttft_only,False,1.00000,0.00000,1.00000,0.00000,1.00000,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,RandomForest,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,RandomForest,decode_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
combined,loco,combined_floor,combined_main,ttft400_itl100,frozen,RandomForest,e2el_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,5465.98904,99.99416,5543.61256,337.44697,5128.05975,4.09741,,,,
